smoking1,smoking2,smoking3,smoking4,concentr,annoy,sleepi,tense,alert,irritabl,tired,content,_type_,_NAME_
1,0.785,0.81,0.775,0.086,0.144,0.14,0.222,0.101,0.189,0.199,0.239,CORR,smoking1
0.785,1,0.816,0.813,0.2,0.119,0.211,0.301,0.223,0.221,0.274,0.235,CORR,smoking2
0.81,0.816,1,0.845,0.041,0.06,0.126,0.12,0.039,0.108,0.139,0.1,CORR,smoking3
0.775,0.813,0.845,1,0.228,0.122,0.277,0.214,0.201,0.156,0.271,0.171,CORR,smoking4
0.086,0.2,0.041,0.228,1,0.562,0.457,0.579,0.802,0.595,0.512,0.492,CORR,concentr
0.144,0.119,0.06,0.122,0.562,1,0.36,0.705,0.578,0.796,0.413,0.739,CORR,annoy
0.14,0.211,0.126,0.277,0.457,0.36,1,0.273,0.606,0.337,0.798,0.24,CORR,sleepi
0.222,0.301,0.12,0.214,0.579,0.705,0.273,1,0.594,0.725,0.364,0.711,CORR,tense
0.101,0.223,0.039,0.201,0.802,0.578,0.606,0.594,1,0.605,0.698,0.605,CORR,alert
0.189,0.221,0.108,0.156,0.595,0.796,0.337,0.725,0.605,1,0.428,0.697,CORR,irritabl
0.199,0.274,0.139,0.271,0.512,0.413,0.798,0.364,0.698,0.428,1,0.394,CORR,tired
0.239,0.235,0.1,0.171,0.492,0.739,0.24,0.711,0.605,0.697,0.394,1,CORR,content
110,,,,110,,,,,,,,N,.
